Harga Invoice All Tenant (per Item),,,,,,,,,Harga Invoice Pucang (per Item),,,,,,,
,,,,,,,,,,,,,,,,
No,Item,Quantity,,Harga,Harga + 5%,Harga per item,Satuan,,No,Item,Quantity,,,,Harga per item,Satuan
1,Ayam Karage,2400,gr,"Rp 117,600.00","Rp 123,480.00",Rp 49.00,gr,,1,Ayam Karage,2400,gr,"Rp 117,600.00","Rp 123,480.00",Rp 51.45,gr
2,Daging blackpepper,1800,gr,"Rp 228,600.00","Rp 240,030.00",Rp 127.00,gr,,2,Daging blackpepper,1800,gr,"Rp 228,600.00","Rp 240,030.00",Rp 133.35,gr
4,Hot Honey Sauce,500,gr,"Rp 16,000.00","Rp 16,800.00",Rp 32.00,gr,,4,Hot Honey Sauce,500,gr,"Rp 16,000.00","Rp 16,800.00",Rp 33.60,gr
5,Curry Sauce,10,pcs,"Rp 22,000.00","Rp 23,100.00","Rp 2,200.00",pcs,,5,Curry Sauce,10,pcs,"Rp 22,000.00","Rp 23,100.00","Rp 2,310.00",pcs
6,Spicy Minced Chicken Sauce,10,pcs,"Rp 16,500.00","Rp 17,325.00","Rp 1,650.00",pcs,,6,Spicy Minced Chicken Sauce,10,pcs,"Rp 16,500.00","Rp 17,325.00","Rp 1,732.50",pcs
7,Biang Miso,10,pcs,"Rp 10,000.00","Rp 10,500.00","Rp 1,000.00",pcs,,7,Biang Miso,10,pcs,"Rp 10,000.00","Rp 10,500.00","Rp 1,050.00",pcs
9,Saus Katsu,100,gr,"Rp 2,875.00","Rp 3,018.75",Rp 28.75,gr,,9,Saus Katsu,100,gr,"Rp 2,875.00","Rp 3,018.75",Rp 30.19,gr
10,Mirin Halal,100,gr,"Rp 4,400.00","Rp 4,620.00",Rp 44.00,gr,,10,Mirin Halal,100,gr,"Rp 4,400.00","Rp 4,620.00",Rp 46.20,gr
11,Bubuk Dashi,60,gr,"Rp 12,600.00","Rp 13,230.00",Rp 210.00,gr,,11,Bubuk Dashi,60,gr,"Rp 12,600.00","Rp 13,230.00",Rp 220.50,gr
12,Gula Pasir,60,gr,"Rp 1,122.00","Rp 1,178.10",Rp 18.70,gr,,12,Gula Pasir,60,gr,"Rp 1,122.00","Rp 1,178.10",Rp 19.64,gr
13,Wijen,100,gr,"Rp 4,750.00","Rp 4,987.50",Rp 47.50,gr,,13,Wijen,100,gr,"Rp 4,750.00","Rp 4,987.50",Rp 49.88,gr
14,Parsley,100,gr,"Rp 8,400.00","Rp 8,820.00",Rp 84.00,gr,,14,Parsley,100,gr,"Rp 8,400.00","Rp 8,820.00",Rp 88.20,gr
