List Item Central Kitchen,,
No.,Nama Bahan,Satuan
1,Susu ,ml
2,Gula Halus,gr
3,Tepung Ketan,gr
4,Telor Ayam,pcs
5,Vanili Pasta ,ml
6,Margarin,gr
7,Thousand island,gr
8,Susu Fresh Milk,ml
9,Simple Syrup,gr
10,Bubuk Hojicha,gr
11,SKM,gr
12,Creamer Bubuk,gr
13,Es Batu,gr
14,Air,ml
15,Sedotan,pcs
16,Strawberry Sauce,gr
17,plastik sealer cup,pcs
18,Tusuk sate,pcs
19,Bubuk Dark Coklat,gr
20,saus sambal sachet,pcs
21,saus tomat sachet,pcs
22,Cup gelas PP 12 oz,pcs
23,Beras,gr
24,Daging Beef Slice,gr
25,Mirin Halal,ml
26,Kecap Manis,gr
27,Paha Ayam,gr
28,Dashi Halal,gr
29,Lada hitam,gr
30,Jahe Bubuk,gr
31,Kecap Asin,Gr
32,Ajinomoto,gr
33,Saus Tiram,gr
34,Gula Pasir,gr
35,Gram,gr
36,Bawang Bombay,gr
37,Tepung Tapioka,gr
38,Tepung Terigu,gr
39,Sendok Makan,pcs
40,Cocoa Powder,gr
41,Baking Powder,gr
42,Thinwall 300 ml,pcs
43,Madu,gr
44,Bawang Putih Bubuk,gr
45,Cabe bubuk,gr
46,Condy lime,ml
47,Curry Pasta ,gr
48,Garam Masala,gr
49,Thinwall 100 ml,pcs
50,Ayam Cincang,gr
51,Saus Sambal Blibis,gr
52,Saus Manis Jepang,ml
53,Chili Oil,gr
54,Miso Pasta,gr
55,Wakame,gr
56,Bawang Putih,gr
57,Lada Putih Bubuk,gr
58,Daun Parsley,gr
59,Paper Bowl 650 ml,pcs
60,Tutup Bowl 650 ml,Pcs
61,Wijen,gr
62,Daun Bawang,Pcs
63,Mayonaise,gr
64,Thinwall 25 ml,pcs
65,Inner Tray Bowl,pcs
66,Minyak Goreng,ml
67,Plastik Kresek 20,pax
68,Plastik Kresek 25,pax
69,Plastik Klip,pcs
70,Tabung LPG 3 Kg,pcs
71,Cairan Cuci Piring,gr
72,Thinwall 500 ml,pcs
73,Kabel Ties 2.5*100mm putih,pcs
74,Vaccum Pack 10 x 15,pcs
75,Dada Ayam Mentah,gr
76,Tepung Panir Katsu Kuning,gr
77,Tepung Panir Katsu Putih,gr
78,Plastik 12 x 25,pcs
79,Plastik 20 x 35,pcs
80,Vaccum Pack 30 x 40,pcs
81,Vaccum Pack 25 x 37,pcs
82,Lada hitam bubuk halus,gr
83,Daun Teh Hitam,pcs
84,Minyak Wijen,ml
85,Battery,pcs
86,Tissue Jumbo,Pcs
87,Thinwall 150 ml,Pcs
88,Sendok Puding,pcs
89,Kaldu Ayam Knorr,Gr
90,Beras Ketan,Gr
91,Rice Vinegar,Ml
92,White Coin,Gr
93,Tepung Maizena,Gr
94,Pewarna Kuning Telor,ml
95,Cling Wrap,Cm
96,Bento Tray,pcs
97,Es Batu,gr
98,Edamame,gr
99,Jahe,gr
100,Lada Hitam Utuh,gr
101,Bayam,gr
