Nama Bahan,Satuan Inventory
Telor Ayam,Pcs
Susu Fresh Milk,ML
Simple Syrup,Gram
Bubuk Matcha latte,Gram
Bubuk Hojicha,Gram
SKM,Gram
Es Batu,Gram
Sedotan,Pcs
Strawberry Sauce,Gram
Plastik Sealer Cup,Pcs
Saus Sambal Sachet,Pcs
Saus Tomat Sachet,Pcs
Cup gelas PP 14Oz,Pcs
Mirin Halal,Gram
Dashi Halal,Gram
Gula Pasir,Gram
Sendok Makan,Pcs
Mangkok soup 300ml,Pcs
Cabe bubuk,Gram
saus manis jepang,Gram
Daun Parsley,Gram
Bowl Mangkok,Pcs
Tutup Mangkok,Pcs
Wijen,Gram
Daun Bawang,Gram
Inner Tray Bowl,Pcs
Minyak Goreng,ML
Plastik 12 x 25,Pack
Plastik Bawang 20,Pack
Plastik Bawang 25,Pack
Plastik Klip 100 Pcs,pcs
thinwall 500ml,Pcs
Ayam Karage,Gram
Daging Blackpepper,Gram
Hot Honey Sauce,Gram
Curry Sauce,Pcs
Spicy Sauce Ayam Cincang,Pcs
Miso Soup,Pcs
Choco Latte,Gram
Kabel Ties,Pcs
Battery AAA,Pcs
Tissue,Pcs
Wakame,Gram
Beras,Gram
Plastik 20 x 35,Pack
LPG,Pcs
Air,Pcs
Sunlight,ML
Trash Bag,Pack
Katsu Chicken,Pcs
Plastik Bawang 15,Pack
Roll Kertas Nota,Pcs
Teh Wayang,Pcs
Spons Cuci,Pcs
Isi Steples,Pcs
Tepung Ketan,Gram
Isolasi Bening,Pcs
Lakban Bening,Pcs
Pudding Caramel,Pcs
Super Pel,ML
Beras Ketan,Gram
Cuka Nasi,Gram
Bento Tray,Pcs
Edamame,Gram
Egg Roll,Pcs
Garam,Gram
Kubis Mentah,Gram
Thousand Island,Gram
Wortel Mentah,Gram
White Coin,Gram
