LIST HARGA OFFLINE ALL TENANT (Periode Juni 2026),,,
,,,
No.,Nama Menu Rice Bowl ,HPP,Harga Offline
1,Gyumeshi,"Rp 11.670,16","Rp 33.000,00"
2,Karage Don,"Rp 9.350,16","Rp 27,000.00"
3,Hot Honey Karage Don,"Rp 9.990,16","Rp 32.000,00"
4,Chicken Katsu Don,"Rp 7.445,20","Rp 24.000,00"
5,Japanese Curry Karaage Don,"Rp11.550,16","Rp 35.000,00"
6,Japanese Curry Katsu Don,"Rp9.300,16","Rp 32.000,00"
7,Japanese Beef Curry Rice,"Rp13.871,00","Rp 36.000,00"
8,BUY 1 GET 1 KATSU DON,"14,890.40","Rp 50,000.00"
No.,Nama Menu Ala Carte,HPP,Harga Offline
1,Gyuniku Ala Carte,"Rp 17.260,00","Rp 49.000,00"
2,Karage Ala Carte,"Rp 14.155,00","Rp 45.000,00"
3,Hot Honey Karage Ala Carte,"Rp 15.435,00","Rp 49.000,00"
No.,Nama Menu Minuman,HPP,Harga Offline
1,Matcha Latte,"Rp 8.805,63","Rp 28.000,00"
2,Matcha Tea,"Rp 3.748,21","Rp 15.000,00"
No.,Nama Menu Add Ons,HPP,Harga Offline
1,Miso Sup,"Rp 1.741,00","Rp 10.000,00"
2,Spicy Sauce,"Rp 2.875,00","Rp 12.000,00"
3,Gohan,"Rp2.113,16","Rp 10.000,00"
No.,Nama Add Ons (Pilih Saus),HPP,Harga Offline
1,saus tomat sachet,"Rp 235,00",FREE
2,saus sambal sachet,"Rp 296,00",FREE
3,cabe bubuk,"Rp 249,50",FREE
No.,Nama Add Ons (Alat Makan),HPP,Harga Offline
1,sendok plastik,"Rp 208,00",FREE
No.,Nama Add Ons (Seasonal Menu),HPP,Harga Offline
1,Caramel Puding,"Rp 2.064,84","Rp 12.000,00"
No.,Nama Add Ons (Add Ons Bowl),HPP,Harga Offline
1,Es Teh,"Rp 1.404,63","Rp 8.000,00"
2,Miso Sup,"Rp 1.741,00","Rp 10.000,00"
3,Spicy Sauce,"Rp 2.875,00","Rp 12.000,00"
4,Matcha Tea,"Rp 3.748,21","Rp 15.000,00"
5,Extra Curry Sauce,"Rp2.200,00","Rp 10.000,00"
No.,Barang Keluar (Operasional),HPP,Harga Offline
1,Galon,,
2,LPG,,
3,Minyak 1 Liter,,
4,Minyak 2 Liter,,
5,PEX 15,,
6,PEX 20,,
7,PEX 25,,
8,Plastik Klip,,
8,Tomat 12 x 25,,
9,Spons Cuci,,
10,Sealer cup,,
11,Sunlight 1500,,
12,Kable ties ,,
13,tissue,,
14,batterai,,
15,Tomat 20 x 35,,
16,Wijen 100 gr,,
17,Kresek Sampah,,
18,Roll Kertas Nota,,
19,Isi Steples ,,
20,Daun parsley (Gram),,
21,Tepung Ketan (Pack),,
