,,,,
,,,,
Harga HPP Makan Pegawai,Harga,,,
Chicken Katsu Staff,"Rp 4,096.00",,,
Chicken Karaage Staff,"Rp 6,370.00",,,
Nasi Staff,"Rp 1,515.00",,,
Telor Staff,"Rp 1,750.00",,,
,,,,
Rincian Menu Makan Staff,,,,
Menu,No,,,
,,Bahan,Berat,Satuan
Karage Don,1,Ayam Karage,130.00,gr
,4,Beras,67.50,gr
,5,Beras Ketan,7.50,gr
,6,Air,117.00,gr
,7,Cuka Nasi,1.25,gr
nasi putih,1,Beras,67.50,gr
,2,Beras Ketan,7.50,gr
,3,Air,117.00,gr
,4,Cuka Nasi,1.25,gr
Chicken Katsu Don,1,Katsu Chicken,1.00,Porsi
,2,saus manis jepang,10.00,gr
,5,Beras,67.50,gr
,6,Beras Ketan,7.50,gr
,7,Air,117.00,gr
,8,Cuka Nasi,1.25,gr
,9,daun bawang,1.00,gr
