Stock Opname Inventory,,,,
Menu,No,,,
,,Bahan,Berat,Satuan
Gyumeshi,1,Daging Blackpepper,70.00,gr
,2,Bowl Mangkok,1.00,pcs
,3,Tutup Mangkok,1.00,pcs
,4,inner tray bowl,1.00,pcs
,5,Beras,67.50,gr
,6,Beras Ketan,7.50,gr
,7,Air,117.00,gr
,8,Cuka Nasi,1.25,gr
Karage Don,1,Ayam Karage,130.00,gr
,2,Bowl Mangkok,1.00,pcs
,3,Tutup Mangkok,1.00,pcs
,4,Beras,67.50,gr
,5,Beras Ketan,7.50,gr
,6,Air,117.00,gr
,7,Cuka Nasi,1.25,gr
Hot Honey Karage Don,1,Ayam Karage,130.00,gr
,2,Bowl Mangkok,1.00,pcs
,3,Tutup Mangkok,1.00,pcs
,4,Beras,67.50,gr
,5,Beras Ketan,7.50,gr
,6,Air,117.00,gr
,7,Cuka Nasi,1.25,gr
,8,Hot Honey Sauce,20.00,gr
Gyuniku Ala Carte,1,Daging Blackpepper,180.00,gr
,2,thinwall 500ml,1.00,pcs
Karage Ala Carte,1,Ayam Karage,260.00,gr
,2,Bowl Mangkok,1.00,pcs
,3,Tutup Mangkok,1.00,pcs
Hot Honey Karage Ala Carte,1,Ayam Karage,260.00,gr
,2,Bowl Mangkok,1.00,pcs
,3,Tutup Mangkok,1.00,pcs
,4,Hot Honey Sauce,40.00,gr
Curry Karage Don,1,Ayam Karage,130.00,porsi
,2,Bowl Mangkok,1.00,pcs
,3,Tutup Mangkok,1.00,pcs
,4,Beras,67.50,gr
,5,Beras Ketan,7.50,gr
,6,Air,117.00,gr
,7,Cuka Nasi,1.25,gr
,8,Curry Sauce,1.00,pcs
Miso Sup,1,miso soup,1.00,porsi
,2,daun bawang,1.00,Pcs
,3,wakame,0.50,gr
,4,Mangkok soup 300ml,1.00,porsi
nasi putih,1,Beras,67.50,gr
,2,Beras Ketan,7.50,gr
,3,Air,117.00,gr
,4,Cuka Nasi,1.25,gr
,5,Mangkok soup 300ml,1.00,pcs
Curry Sauce,1,Curry Sauce,1.00,porsi
Spicy Sauce,1,Spicy Sauce Ayam Cincang,1.00,Porsi
extra 2pcs karage,1,Ayam Karage,65.00,gr
extra beef 50gr,1,Daging Blackpepper,35.00,gr
Chicken Katsu Don,1,Katsu Chicken,1.00,Porsi
,2,saus manis jepang,10.00,gr
,3,Bowl Mangkok,1.00,pcs
,4,Tutup Mangkok,1.00,pcs
,5,Beras,67.50,gr
,6,Beras Ketan,7.50,gr
,7,Air,117.00,gr
,8,Cuka Nasi,1.25,gr
,9,daun bawang,1.00,gr
Curry Katsu Don,1,Katsu Chicken,1.00,Porsi
,2,Curry Sauce,1.00,pcs
,3,Bowl Mangkok,1.00,pcs
,4,Tutup Mangkok,1.00,pcs
,5,Beras,67.50,gr
,6,Beras Ketan,7.50,gr
,7,Air,117.00,gr
,8,Cuka Nasi,1.25,gr
,9,daun bawang,1.00,gr
Matcha Latte,1,Bubuk Matcha latte,4.00,gr
,2,Simple Syrup,15.00,gr
,3,Air,50.00,ml
,4,Es Batu,180.00,gr
,5,Susu Fresh Milk,125.00,ml
,6,Cup gelas PP 14Oz,1.00,pcs
,7,Sedotan,1.00,pcs
Matcha Tea,1,Bubuk Matcha latte,1.50,gr
,2,Simple Syrup,25.00,gr
,3,Air,50.00,ml
,4,Es Batu,180.00,gr
,5,Air,125.00,ml
,6,Cup gelas PP 14Oz,1.00,pcs
,7,Sedotan,1.00,pcs
Ice Tea,1,Ice Tea,100,ml
,2,Simple Syrup,20,gr
,3,Air,50,ml
,4,Es Batu,180,gr
,6,Cup gelas PP 14Oz,1,pcs
,7,Sedotan,1,pcs
Japanese Beef Curry Rice,1,Daging Blackpepper,70.00,gr
,2,Curry Sauce,1.00,pcs
,3,Bowl Mangkok,1.00,pcs
,4,Tutup Mangkok,1.00,pcs
,5,Beras,67.50,gr
,6,Beras Ketan,7.50,gr
,7,Air,117.00,gr
,8,Cuka Nasi,1.25,gr
,9,inner tray bowl,1.00,pcs
